Loci,Mix,Rack,Treatment,Well,ID,Row,Match,Missing,Nanodrop
Hg.1.3,mix1,R154,Internal control,80,AGP20076,G,1,0,352
Hg.1.3,mix1,R154,Internal control,81,AGP20077,G,1,1,283
Hg.1.3,mix1,R154,Internal control,82,AGP20078,G,1,1,542.5
Hg.1.3,mix1,R154,Internal control,83,AGP20079,G,1,1,538
Hg.1.3,mix1,R154,Internal control,84,AGP20080,G,1,1,474
Hg.1.3,mix1,R154,Internal control,85,AGP20081,H,1,1,196.5
Hg.1.3,mix1,R154,Internal control,86,AGP20082,H,1,1,119.5
Hg.1.3,mix1,R154,Internal control,87,AGP20083,H,1,1,325.5
Hg.1.3,mix1,R154,Internal control,88,AGP20084,H,1,1,378
Hg.1.3,mix1,R154,Internal control,89,AGP20085,H,1,1,365.5
Hg.1.3,mix1,R154,Internal control,90,AGP20086,H,1,1,62
Hg.1.3,mix1,R154,Internal control,91,AGP20087,H,1,1,242.5
Hg.1.3,mix1,R154,Internal control,92,AGP20088,H,1,1,250.5
Hg.1.3,mix1,R154,Internal control,93,AGP20089,H,1,1,436
Hg.1.3,mix1,R154,Internal control,94,AGP20090,H,1,1,629.5
